RecID,xLCC,yLCC,date,EC25
1,349438.0,4324470.0,2018,0.06545921975349087
2,349514.0,4324470.0,2018,0.0662256879750544
3,349589.0,4324470.0,2018,0.06693453909417636
4,349665.0,4324470.0,2018,0.06756499296047434
5,349740.0,4324470.0,2018,0.06818994097391969
6,349816.0,4324470.0,2018,0.06883539961209974
7,349891.0,4324470.0,2018,0.0694586305013483
8,349967.0,4324470.0,2018,0.07007882855920981
9,350042.0,4324470.0,2018,0.070688275345171
10,350118.0,4324470.0,2018,0.07126239863786095
11,350193.0,4324470.0,2018,0.07182364000696573
12,350269.0,4324470.0,2018,0.07240575825544807
13,350344.0,4324470.0,2018,0.07304084429693049
14,350420.0,4324470.0,2018,0.07372791883166087
15,350495.0,4324470.0,2018,0.07446953345820484
16,350571.0,4324470.0,2018,0.07526920271110937
17,350646.0,4324470.0,2018,0.07610036747592182
18,350722.0,4324470.0,2018,0.07693646073871156
19,350797.0,4324470.0,2018,0.07777978146823576
20,350873.0,4324470.0,2018,0.07866198937570076
21,350948.0,4324470.0,2018,0.07959850711938574
22,351024.0,4324470.0,2018,0.08059589875355404
23,351099.0,4324470.0,2018,0.08164595884312109
24,351175.0,4324470.0,2018,0.08270808092373796
25,351250.0,4324470.0,2018,0.08374444876282824
26,351326.0,4324470.0,2018,0.08473986474577709
27,351401.0,4324470.0,2018,0.08570981886888371
28,351477.0,4324470.0,2018,0.08666984482164104
29,351552.0,4324470.0,2018,0.08762372298028114
30,351628.0,4324470.0,2018,0.08856114086300565
31,351703.0,4324470.0,2018,0.08955474952013173
32,351779.0,4324470.0,2018,0.09049423064635186
33,351854.0,4324470.0,2018,0.09135400219865458
34,351930.0,4324470.0,2018,0.09215168536748489
35,352005.0,4324470.0,2018,0.09291730542616478
36,352081.0,4324470.0,2018,0.0936814897725996
37,352156.0,4324470.0,2018,0.0944675575244107
38,352232.0,4324470.0,2018,0.09529104774391264
39,352307.0,4324470.0,2018,0.0961356002670061
